t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,omega_0,servo_0_0,omega_1,servo_1_0,omega_2,servo_2_0,omega_3,servo_3_0
0.01,3.0617833052582237e-07,2.5066607271013553e-07,-0.0004093220958933275,6.120483115022081e-05,5.0085368715148134e-05,-0.075193984534981,0.999999999695782,2.005268034411332e-05,-1.2998839912343885e-05,-6.111969978274739e-06,0.008020885628613458,-0.005199825069586552,-0.0024447859966424852,0.4590301977489578,0.003308373116989951,0.6043929325707104,0.016518749463817956,0.38038067614964544,-0.003308373116989951,0.591895783295398,-0.016518749463817956
0.02,2.942317286886824e-06,2.3997550071543805e-06,-0.001268347919408313,0.0004654935243351108,0.00037891925434175303,-0.09308905636917061,0.9999999883124445,0.00012368695739020135,-8.12808743752214e-05,-3.834143982228977e-05,0.033431608435816086,-0.02211484205817757,-0.010446963780948334,0.833185761569069,0.006705861621204488,1.0918483530850285,0.03350711444362081,0.6950812757517439,-0.006705861621204488,1.0695903628303163,-0.03350711444362081
0.03,1.2723845525600957e-05,1.0331841134451658e-05,-0.002132299467848423,0.0014881466231238785,0.0012034481109338205,-0.07900646088826876,0.9999998751022785,0.0004022881417847146,-0.00026771537969968534,-0.00012762502252217098,0.07800538160231854,-0.05246426375743805,-0.025266179114756676,1.1314521260081172,0.009247403569904963,1.4824725413494968,0.04634233778380931,0.9523858393062139,-0.009247403569904963,1.4533120645102269,-0.04634233778380931
0.04,3.636783267941214e-05,2.9363357029632905e-05,-0.002757229671250812,0.0032329801153836084,0.002591320040616987,-0.047379813615322126,0.9999993068504907,0.0009427282376359016,-0.0006343253097125282,-0.00030853423741242914,0.1381631561460454,-0.0941915160929842,-0.04709609515547084,1.362480231518778,0.01086846760217912,1.794206342843492,0.05490047783989653,1.1616814852130615,-0.01086846760217912,1.7611362877682024,-0.05490047783989653
0.05,8.086455286623012e-05,6.481833395692785e-05,-0.0030296568031440126,0.00565035487727492,0.0044758243428436985,-0.009824984807168848,0.9999974299670851,0.0018049805991867786,-0.0012261298318134723,-0.0006153940100047604,0.20672203116908217,-0.14255674173776145,-0.07564300467103237,1.5339131755081008,0.011760792047972132,2.0427359052556753,0.06042069386837422,1.3311426485923579,-0.011760792047972132,2.008742285215805,-0.06042069386837422
0.060000000000000005,0.00015230886362494004,0.00012099840882350663,-0.0029155875764056358,0.00861145328773605,0.006720220030336637,0.03152501660021978,0.9999927674151543,0.0030083824045064314,-0.002060737593070956,-0.0010807927584236452,0.27460138702591314,-0.19135210957299464,-0.1105039257787618,1.6529486184144182,0.012127394342384409,2.2416163783233336,0.06422823606075782,1.467475052866034,-0.012127394342384409,2.209449593927183,-0.06422823606075782
0.07,0.0002554184196584865,0.00020076395064725483,-0.0023449332805306634,0.011971199397598059,0.009175325107998221,0.08134136077059828,0.9999833699293252,0.004526408671935147,-0.0031240186220533057,-0.0017355104157887953,0.33251374897517266,-0.23412947863327288,-0.15135591409819113,1.7262606439931618,0.012119612784673056,2.401804564681571,0.06735291718313412,1.5753938922163346,-0.012119612784673056,2.3737383716943916,-0.06735291718313412
0.08,0.0003935614134343262,0.00030559719540297663,-0.0012693620463609698,0.015606804885141937,0.011717654561069938,0.13139878704724078,0.999967261569459,0.006289514901121739,-0.004371611259104115,-0.0026089855454603014,0.3724926160393169,-0.2653185016253031,-0.19798229016955582,1.7602271248021832,0.011842682383337475,2.5313188073426933,0.07049571024781016,1.6578176118582926,-0.011842682383337475,2.508962785332846,-0.07049571024781016
0.09,0.0005690634003203293,0.00043594804535162916,0.0002684861605244881,0.019434450212533348,0.014266954169029428,0.17335340601582086,0.9999430152889741,0.008195061995683033,-0.005735570391728882,-0.003729660089487105,0.3891920862317858,-0.2811703725487792,-0.25019677117141403,1.7629565633085662,0.011360472375308118,2.6364419805237675,0.07401040112499514,1.7179203544916923,-0.011360472375308118,2.620607405410825,-0.07401040112499514
0.09999999999999999,0.0007835998798238313,0.0005916755463520013,0.0022075557553324276,0.023409270346981457,0.016787122563081666,0.21446398387224846,0.9999101771277882,0.010122546621949016,-0.007134893160117477,-0.005124941313233085,0.380712745091108,-0.2803575390256765,-0.3077652708701001,1.744163930277966,0.010709873714982755,2.722235808087577,0.07795849905342477,1.759117121112356,-0.010709873714982755,2.712892921145126,-0.07795849905342477
