t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,omega_0,servo_0_0,omega_1,servo_1_0,omega_2,servo_2_0,omega_3,servo_3_0
0.01,4.630332920943209e-07,2.4003202643041254e-07,-0.0004198573728635669,9.260810388386397e-05,4.8006880517295857e-05,-0.07712935444894993,0.9999999999904162,-3.7966980721850766e-07,8.609365939729589e-07,-4.275774801197452e-06,-0.0001518575280213158,0.0003443781881425813,-0.0017103100591759565,0.3382787202484953,0.020419412873417492,0.49516002794706576,0.0305445157272018,0.34241620024198227,-0.020419412873417492,0.49311817122957086,-0.0305445157272018
0.02,4.469214860783201e-06,2.3136798940342588e-06,-0.001324705205034001,0.0007086479390592004,0.00036673174141042987,-0.0997917850644785,0.9999999996261358,-2.9766672171863284e-06,4.148891626714402e-06,-2.6863629141141782e-05,-0.0008868968621711293,0.0009708337398801772,-0.007324833475006632,0.6150416895970063,0.041194460358246275,0.898967585856642,0.06162116743005924,0.6223515682813998,-0.041194460358246275,0.895357568791824,-0.06162116743005924
0.03,1.941144932506508e-05,1.003497958631496e-05,-0.002294709903995833,0.0022798740732775406,0.0011775795782214785,-0.09265888431803682,0.9999999958873851,-1.1590720382830918e-05,1.0110341124130211e-05,-8.937933957395847e-05,-0.0025586144819474284,0.0014138329833764676,-0.017681462506632994,0.8387739201195977,0.056670605114948425,1.2239364055991158,0.08473854150535065,0.8484354678765672,-0.056670605114948425,1.219125768764691,-0.08473854150535065
0.04,5.577253584209077e-05,2.8781122248527325e-05,-0.0030994752193938806,0.004992501358433229,0.002571814663590316,-0.0686168255365502,0.9999999761389535,-3.111274603422174e-05,1.7051057334150983e-05,-0.00021555359365700425,-0.005249856412474846,0.0013625785232980218,-0.03278829625768247,1.0184306266037368,0.06668469620896367,1.4824677683751415,0.09959419621172637,1.0297246266650442,-0.06668469620896367,1.4766752773276384,-0.09959419621172637
0.05,0.0001247980052701687,6.425325388571682e-05,-0.003624281255656856,0.008812828954139765,0.004522992686594556,-0.03789055049218318,0.9999999059736774,-6.6220976921868e-05,2.2344124225925714e-05,-0.0004279814955130911,-0.008792384471574566,0.0007546935418114457,-0.05218305896425966,1.1622485402145664,0.07265088240741592,1.685691093903554,0.10823883802980525,1.1745520212109424,-0.07265088240741592,1.6789764228716546,-0.10823883802980525
0.060000000000000005,0.00023681436901751654,0.00012156806896578205,-0.0038406676039052724,0.013590725510711433,0.006940668333139645,-0.0075894053652690065,0.9999997139536404,-0.00012037034835268019,2.3469527573213562e-05,-0.000746359699565907,-0.012864695925046837,-0.00030470410306538277,-0.07516872252808235,1.277571534861558,0.07602364893237876,1.8435056814848851,0.11279681965113866,1.2903583648773498,-0.07602364893237876,1.8358003026408451,-0.11279681965113866
0.07,0.00040046571643681013,0.0002048305660538959,-0.003763921323936553,0.019139828120134362,0.00971291679310358,0.022102452034512613,0.9999992766489568,-0.00019526260403363016,1.8624659746425927e-05,-0.001186687492864842,-0.01708668037893203,-0.0016334745903004186,-0.10096344440741112,1.370745105094171,0.07785226709438192,1.964556164623645,0.11481129114930104,1.3835879897433956,-0.07785226709438192,1.9557156010519317,-0.11481129114930104
0.08,0.0006225575688021713,0.00031703357625370034,-0.0033705485839347496,0.025278794245322492,0.012729176204693519,0.05569889432061738,0.9999984070739594,-0.0002907290596045124,6.9593980829979525e-06,-0.0017610445000189763,-0.021090239434317832,-0.0030318961070066484,-0.12878126926264763,1.4467521709338114,0.07880520580329704,2.0558125512085166,0.11528154042492153,1.459328286424593,-0.07880520580329704,2.0456721132323117,-0.11528154042492153
0.09,0.0009081907803307697,0.00046012238687480615,-0.0026445044056536042,0.03184805237372366,0.015890437852756508,0.08790565321281439,0.9999968485519459,-0.00040491454134111915,-1.1428175496313497e-05,-0.002477660145064949,-0.02456930290879891,-0.004318800854262295,-0.15786813844119946,1.5090770885918332,0.07931326700695766,2.122446550758587,0.11486986166987459,1.5211739282643246,-0.07931326700695766,2.1108712660121465,-0.11486986166987459
0.09999999999999999,0.0012610021036397819,0.0006351261457762475,-0.001628084137653152,0.03871437574509964,0.019112429078358632,0.11313739316871889,0.9999942747098046,-0.0005346537245046361,-3.563815555035165e-05,-0.0033411708926343623,-0.02730683698702683,-0.005352284605596627,-0.18754101684561686,1.560825756371842,0.07958546651760344,2.1691654096488286,0.11392379757581725,1.5723285847583313,-0.07958546651760344,2.1560882808322965,-0.11392379757581725
0.10999999999999999,0.0016834111637642026,0.0008422995472438279,-0.00041410392940170434,0.04576758334291213,0.022324497939663023,0.1269860763360104,0.9999902950171148,-0.000675929563537659,-6.418255098193619e-05,-0.004353030141097272,-0.02918062236362549,-0.006036126488236305,-0.21720985904576479,1.6048844001979823,0.07966285000420906,2.200328035378558,0.1125547926911476,1.6157563662952459,-0.07966285000420906,2.1857711901384453,-0.1125547926911476
0.11999999999999998,0.0021768255423423276,0.0010812483778484508,0.0008793425171563158,0.05291545766518719,0.02546750373019628,0.13078290073880813,0.9999844646054354,-0.0008243235378363848,-9.521157813885647e-05,-0.005511984509469251,-0.03015406105350897,-0.006318710998274866,-0.24638223056779393,1.6439235757955677,0.0794859265447992,2.219882169868564,0.11073580802648955,1.6541816861658725,-0.0794859265447992,2.2039610917204917,-0.11073580802648955
