t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,omega_0,servo_0_0,omega_1,servo_1_0,omega_2,servo_2_0,omega_3,servo_3_0
0.01,7.599826299649789e-25,7.599826299649789e-25,-0.0004177925914352141,3.039930519859915e-22,3.039930519859915e-22,-0.07675004642661712,1.0,-8.673617379884036e-20,8.673617379884036e-20,1.2027416100105865e-18,-3.469446951953614e-17,3.469446951953614e-17,4.810966440042346e-16,0.444010215392882,0.0,0.4440102153928416,0.0,0.4440102153928824,0.0,0.4440102153928416,0.0
0.02,2.957573174307639e-23,3.0567109381278374e-23,-0.0013143141149332856,6.648809936478669e-21,7.045360991759461e-21,-0.09859696266675458,1.0,-3.2959746043559335e-19,2.9490299091605723e-19,6.1741699715807866e-18,-6.245004513516506e-17,4.85722573273506e-17,1.5074747006238458e-15,0.8018270303042806,0.0,0.8018270303042326,0.0,0.8018270303042807,0.0,0.8018270303042326,0.0
0.03,2.276945556978175e-22,2.527616934789594e-22,-0.0022661600079925655,3.8093927477412234e-20,4.3609451155635705e-20,-0.09036075147936326,1.0,-9.194034422677078e-19,7.806255641895633e-19,1.9106533484987885e-17,-1.734723475976807e-16,1.457167719820518e-16,3.665470704738994e-15,1.0888637033291793,0.0,1.088863703329105,0.0,1.0888637033291797,0.0,1.088863703329105,0.0
0.04,1.1097381046872297e-21,1.2810703472897496e-21,-0.0030411249756910983,1.549289347276081e-19,1.818820744150418e-19,-0.06512767491959802,1.0,-2.203098814490545e-18,1.8561541192951837e-18,4.163191782054673e-17,-3.400058012914542e-16,2.8449465006019636e-16,5.3446830294845434e-15,1.3182700445941649,0.0,1.3182700445941173,0.0,1.3182700445941653,0.0,1.3182700445941173,0.0
0.05,4.0590632745863066e-21,4.763953520810924e-21,-0.003524322491916261,4.634231805065709e-19,5.487400964224569e-19,-0.03325351938585072,1.0,-3.903127820947816e-18,3.2786273695961656e-18,6.681721148593668e-17,-3.400058012914542e-16,2.8449465006019636e-16,4.729434436671435e-15,1.5009913320613641,0.0,1.5009913320613795,0.0,1.5009913320613641,0.0,1.5009913320613795,0.0
0.060000000000000005,1.145516885303678e-20,1.3497914124853891e-20,-0.00368814271043141,1.0600881953921144e-18,1.242342284594727e-18,-0.0019228736999825427,1.0,-5.7419347054832316e-18,5.117434254131581e-18,8.66942513148376e-17,-3.95516952522712e-16,4.510281037539698e-16,3.2213814948889308e-15,1.6461231272153054,0.0,1.64612312721534,0.0,1.6461231272153056,0.0,1.6461231272153398,0.0
0.07,2.6891501892586487e-20,3.113941524421438e-20,-0.0035382249526166327,2.0855290586549868e-18,2.3251772260252973e-18,0.03140137800055174,1.0,-7.164407955784215e-18,7.233796894823285e-18,1.0185862570066818e-16,-1.734723475976807e-16,3.95516952522712e-16,2.8443682594433044e-15,1.7611812480809022,0.0,1.7611812480809101,0.0,1.7611812480809017,0.0,1.76118124808091,0.0
0.08,5.503024264846091e-20,6.123033134537995e-20,-0.003030693991163708,3.615212275044719e-18,3.723684288312453e-18,0.06897971501171225,1.0,-8.170547571850763e-18,9.627715291671279e-18,1.1863629291915722e-16,-2.2898349882893854e-16,5.620504062164855e-16,3.866698627952303e-15,1.852092784658691,0.0,1.8520927846586706,0.0,1.8520927846586912,0.0,1.8520927846586703,0.0
0.09,1.0167422954706167e-19,1.0695080771861017e-19,-0.00215363208688762,5.819701838310917e-18,5.467193632344934e-18,0.104495612901609,1.0,-9.593020822151745e-18,1.2854300956988141e-17,1.3980859294345414e-16,-3.400058012914542e-16,7.28583859910259e-16,4.602221381766469e-15,1.923519520298506,0.0,1.923519520298492,0.0,1.9235195202985065,0.0,1.923519520298492,0.0
0.09999999999999999,1.7457027697089122e-19,1.7223770253961222e-19,-0.0009583662573143933,8.886379660369964e-18,7.64939227168246e-18,0.13192287525337273,1.0,-1.1293049828609017e-17,1.6497220256539435e-17,1.5733797366819979e-16,-3.400058012914542e-16,7.28583859910259e-16,2.4095309081317847e-15,1.979403814297112,0.0,1.9794038142971537,0.0,1.979403814297112,0.0,1.9794038142971537,0.0
