t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,omega_0,servo_0_0,omega_1,servo_1_0,omega_2,servo_2_0,omega_3,servo_3_0
0.01,-1.5914601929222254e-10,-1.5914875981653397e-10,-0.0004104539291647296,-6.366014657430811e-08,-6.3657765156925e-08,-0.07540190698809926,0.9999999996595529,1.3862396875180395e-05,-1.386356578423185e-05,1.7220039347659877e-05,0.005544857767301082,-0.00554552728325288,0.006888015741661493,0.7377852962209841,0.0,0.0,0.0,0.6991961226503894,0.0,0.0,0.0
0.02,-7.622628696446906e-09,-7.622599458390325e-09,-0.0012754441426442533,-1.968240437751735e-06,-1.968255148374006e-06,-0.09399834795021221,0.9999999867800926,8.62395292041926e-05,-8.625427036471752e-05,0.00010753027021756509,0.023405766778756526,-0.023410983070866098,0.02923607688998673,1.3286912733276,5.821691992077702e-10,0.0,9.804420811389932e-06,1.2596780040560216,-5.821691992077702e-10,0.0,-9.804420811389932e-06
0.03,-8.416810699671806e-08,-8.418194876364309e-08,-0.0021554384404689187,-1.604285217922329e-05,-1.604748668414874e-05,-0.08115935503606425,0.9999998558814345,0.0002840087225638384,-0.0002840714414069645,0.00035620158813325455,0.055702815491251285,-0.05571499078020245,0.07023245751377305,1.7989528108109607,1.239271687118698e-08,0.0,7.133640660938764e-05,1.7068174872121005,-1.239271687118698e-08,0.0,-7.133640660938764e-05
0.04,-4.80871160937469e-07,-4.811700878099548e-07,-0.0028110692279669693,-7.111271299088699e-05,-7.118346771245518e-05,-0.05115444354195026,0.9999991744595884,0.0006771836424201022,-0.0006772986568184678,0.0008566031630579957,0.10157273406090009,-0.1015704616432731,0.1299282534039397,2.1694465830838894,1.0681460088301992e-07,0.0,0.000273266803697381,2.0610365352089848,-1.0681460088301992e-07,0.0,-0.000273266803697381
0.05,-1.8584194609128916e-06,-1.8611642971666e-06,-0.0031318097034394566,-0.00022095431609488203,-0.00022146386874237695,-0.015441818741683745,0.9999967982112261,0.0013267671452924074,-0.0013267157576196615,0.0016979639250197707,0.15827902652214876,-0.15817912263123368,0.2066165837969023,2.4566062420516284,5.61805156835494e-07,0.0,0.0007464565386917829,2.3384481674743545,-5.61805156835494e-07,0.0,-0.0007464565386917829
0.060000000000000005,-5.535738318784419e-06,-5.551418192271471e-06,-0.00309808493135883,-0.0005431819703091436,-0.0005455643148119433,0.020760408661945187,0.9999904392776172,0.002277366730002355,-0.0022763425858914627,0.002958583843808672,0.2220115604913796,-0.22162627251258976,0.2976338122993204,2.672873060664993,2.1470559061804096e-06,0.0,0.0016463568286901966,2.5511474252457216,-2.1470559061804096e-06,0.0,-0.0016463568286901966
0.07,-1.3685509542650391e-05,-1.3750831093928495e-05,-0.002670967561792501,-0.001129763696133147,-0.001138091606039415,0.06371294314786535,0.9999763331467851,0.003553276522062692,-0.003549391702783649,0.004702041061380298,0.28848156048142487,-0.2874839257493593,0.39975756497099413,2.8266817444729253,6.546640785423443e-06,0.0,0.0031306198746203634,2.7071192203526175,-6.546640785423443e-06,0.0,-0.0031306198746203634
0.08,-2.9396671382005506e-05,-2.9613407778193823e-05,-0.0018149996888300246,-0.002070083355827018,-0.0020937648945806974,0.10558738442683278,0.9999491326396512,0.005158193425706658,-0.0051457933996985885,0.006974667178175652,0.35379111186629963,-0.35083290117121824,0.5093136435182326,2.9224594041363035,1.6857132340672266e-05,0.06599777685008656,0.0053378578225016515,2.810245368143726,-1.6857132340672266e-05,0.0,-0.0053378578225016515
0.09,-5.654807650377103e-05,-5.7160803748792275e-05,-0.0005865798394857522,-0.0034301247201811145,-0.003490109166404689,0.13738619546851272,0.9999021163263541,0.00709097364641092,-0.0070272817255421895,0.009802712063185315,0.4200294627003567,-0.40130906523242504,0.6218756102068674,2.9620036774733585,3.7278465911842206e-05,0.26525837992546186,0.008370575090240868,2.861785057113768,-3.7278465911842206e-05,0.0,-0.008370575090240868
0.09999999999999999,-9.946185630440797e-05,-0.00010104626196027465,0.0008818197277507137,-0.00522923362496951,-0.005376018734716078,0.15498752776497804,0.999827742076914,0.009375564671439069,-0.009090435387084143,0.013188969780588408,0.49545922343205245,-0.4233613234166022,0.7321863637822181,2.9466686094608723,6.16514562630388e-05,0.5204089530025449,0.012283354010980206,2.862670454745838,-6.16514562630388e-05,0.12494576025917682,-0.012283354010980206
0.10999999999999999,-0.00016235980596616782,-0.00016625963192366252,0.0025076970656432995,-0.007425736028217699,-0.007770802558286651,0.17018427055688148,0.9997184511845117,0.012064609029150616,-0.011167944882599723,0.017109661858239957,0.5838025541308166,-0.40731320595057574,0.8343416457289858,2.8798609048863746,4.0901937769627245e-05,0.8016997668479995,0.017076479480497037,2.8160486785243806,-4.0901937769627245e-05,0.36768175937333863,-0.017076479480497037
0.11999999999999998,-0.0002487451069775543,-0.0002578341666978485,0.004275838978839249,-0.009917395745990761,-0.010664038733213888,0.1834395111452522,0.9995674582985552,0.015212588464739952,-0.013062810196645085,0.021513632112716275,0.6826069765105343,-0.3513339259282317,0.9227537092009178,2.76836847956218,-0.00014928599793567862,1.086941875374264,0.02269540846256921,2.728528702121993,0.00014928599793567862,0.6506448312718538,-0.02269540846256921
0.12999999999999998,-0.00036085516909617715,-0.0003805766140185423,0.0061667811304184925,-0.012554475489471643,-0.014020371614045856,0.19474354034980595,0.9993692548716653,0.018851823144887172,-0.014582093645487681,0.026326101109887697,0.7858832922839942,-0.25915547015380413,0.9931833622651352,2.622553159946074,-0.000711778036249564,1.3593644692892306,0.029034802947570087,2.6101484445111565,0.000711778036249564,0.9410430519068369,-0.029034802947570087
0.13999999999999999,-0.0004992718072236518,-0.000538893233821577,0.008163692672856063,-0.015157226458090506,-0.017794369947513478,0.20463278371789248,0.9991197454584031,0.022980643221681935,-0.015560604236421331,0.03145618707041277,0.8862587677485219,-0.13824723121024207,1.043293439823754,2.455235094285593,-0.0019019251849299245,1.6072666787239072,0.03594675465778971,2.472925456955887,0.0019019251849299245,1.2199000437760457,-0.03594675465778971
0.15,-0.0006627042508322944,-0.0007367949326407334,0.010256604587530952,-0.01753245874833045,-0.021951728087122375,0.21394310200805888,0.9988161183414932,0.027561079983329857,-0.015876644923726577,0.03680598549475501,0.9765781892707539,0.0015718424894286542,1.0727482121311829,2.280715397372082,-0.003987086331394794,1.8233000236412122,0.043252533169832,2.329512464195737,0.003987086331394794,1.4759103869727173,-0.043252533169832
0.16,-0.0008479323919472036,-0.0009781039629986495,0.012444413008072391,-0.01948890261092355,-0.026488430208836712,0.223611502154986,0.9984566269480372,0.03252323823844807,-0.015461409911951607,0.042279400179344236,1.0509404813906846,0.14927964096795143,1.0830070242670438,2.1140507962779416,-0.007205739378968096,2.0034090819667387,0.05075703385827301,2.1922780527975108,0.007205739378968096,1.7025184152021682,-0.05075703385827301
